fips_code,county,state,customers_out,run_start_time
09003,Hartford,Connecticut,8,2019-01-01 16:15:00
09005,Litchfield,Connecticut,52,2019-01-01 16:15:00
09007,Middlesex,Connecticut,18,2019-01-01 16:15:00
09009,New Haven,Connecticut,1,2019-01-01 16:15:00
09015,Windham,Connecticut,8,2019-01-01 16:15:00
09001,Fairfield,Connecticut,76,2019-01-01 16:30:00
09003,Hartford,Connecticut,25,2019-01-01 16:30:00
09005,Litchfield,Connecticut,115,2019-01-01 16:30:00
09007,Middlesex,Connecticut,18,2019-01-01 16:30:00
09009,New Haven,Connecticut,14,2019-01-01 16:30:00
09015,Windham,Connecticut,28,2019-01-01 16:30:00
09001,Fairfield,Connecticut,73,2019-01-01 16:45:00
09003,Hartford,Connecticut,26,2019-01-01 16:45:00
09005,Litchfield,Connecticut,128,2019-01-01 16:45:00
09007,Middlesex,Connecticut,18,2019-01-01 16:45:00
09009,New Haven,Connecticut,153,2019-01-01 16:45:00
09013,Tolland,Connecticut,1,2019-01-01 16:45:00
09015,Windham,Connecticut,30,2019-01-01 16:45:00
09001,Fairfield,Connecticut,74,2019-01-01 17:00:00
09003,Hartford,Connecticut,750,2019-01-01 17:00:00
09005,Litchfield,Connecticut,246,2019-01-01 17:00:00
09007,Middlesex,Connecticut,52,2019-01-01 17:00:00
09009,New Haven,Connecticut,153,2019-01-01 17:00:00
09013,Tolland,Connecticut,5,2019-01-01 17:00:00
09015,Windham,Connecticut,92,2019-01-01 17:00:00
09001,Fairfield,Connecticut,51,2019-01-01 17:15:00
09003,Hartford,Connecticut,751,2019-01-01 17:15:00
09005,Litchfield,Connecticut,379,2019-01-01 17:15:00
09009,New Haven,Connecticut,153,2019-01-01 17:15:00
09013,Tolland,Connecticut,92,2019-01-01 17:15:00
09015,Windham,Connecticut,120,2019-01-01 17:15:00
09001,Fairfield,Connecticut,50,2019-01-01 17:30:00
09003,Hartford,Connecticut,734,2019-01-01 17:30:00
09005,Litchfield,Connecticut,564,2019-01-01 17:30:00
09009,New Haven,Connecticut,393,2019-01-01 17:30:00
09013,Tolland,Connecticut,93,2019-01-01 17:30:00
09015,Windham,Connecticut,120,2019-01-01 17:30:00
09001,Fairfield,Connecticut,96,2019-01-01 17:45:00
09003,Hartford,Connecticut,734,2019-01-01 17:45:00
09005,Litchfield,Connecticut,604,2019-01-01 17:45:00
09009,New Haven,Connecticut,393,2019-01-01 17:45:00
09013,Tolland,Connecticut,95,2019-01-01 17:45:00
09015,Windham,Connecticut,97,2019-01-01 17:45:00
